Family	Genome Size
Casjensviridae	59200.0
Caulimoviridae	8150.0
Chaacviridae	10450.0
Chaseviridae	54100.0
Chicoviridae	6100.0
Chimalliviridae	263950.0
Chiyouviridae	26850.0
Chrysoviridae	12450.000000000002
Chuviridae	10550.0
Circoviridae	2000.0
Clavaviridae	5250.0
Clermontviridae	37650.00000000001
Closteroviridae	17000.0
Colingsworthviridae	43050.0
Connertonviridae	153500.0
Coronaviridae	31050.0
Corticoviridae	10300.0
Cremegaviridae	16350.000000000002
Crepuscuviridae	12050.0
Crevaviridae	89650.0
Cruliviridae	11149.999999999998
Curvulaviridae	4000.0
Cystoviridae	13800.0
Dallocaviridae	109550.0
Danacaviridae	109650.0
Darmviridae	98850.0
Deltaflexiviridae	8000.0
Deltaormycoviridae	4700.0
Demerecviridae	117600.0
Dicistroviridae	9250.0
Discoviridae	8000.0
Dishuiviroviridae	24750.0
Draupnirviridae	3400.0
Drexlerviridae	46050.0
Druskaviridae	102800.0
Duinviridae	4000.0
Dumbiviridae	4600.0
Duneviridae	43100.0
Ehrlichviridae	50700.0
Ekchuahviridae	76150.0
Endolinaviridae	2900.0000000000005
Endornaviridae	13649.999999999998
Epsomviridae	659950.0
Eubullaviridae	5800.0
Eupolintoviridae	12650.0
Eurekaviridae	17950.0
Euroniviridae	
Felixviridae	45600.0
Fervensviridae	31250.0
Fiersviridae	4150.0
Filamentoviridae	119500.0
Filoviridae	17350.0
Fimoviridae	15250.0
Finnlakeviridae	9149.999999999998
Flaviviridae	10950.0
Forsetiviridae	45550.0
Fredfastierviridae	43400.0
Fusagraviridae	9450.0
Fusariviridae	8350.000000000002
Fuselloviridae	19450.0
Fuxiviridae	31950.0
Gammaflexiviridae	8200.0
Gammaormycoviridae	4400.0
Gandrviridae	7150.0
Geminiviridae	3950.0
Genomoviridae	2950.0
Geplanaviridae	2450.0
Giardiaviridae	6250.0
Globuloviridae	23300.0
Graaviviridae	41000.0
Gresnaviridae	18450.0
Grimontviridae	93650.0
Groupodiviridae	4600.0
Guelinviridae	18650.0
Gulliviridae	90050.00000000001
Gulliviroviridae	30750.0
Guttaviridae	13750.0
Hadakaviridae	14800.0
Hafunaviridae	66700.0
Hakuzoviridae	10550.0
Halicoviridae	13550.0
Haloferuviridae	36900.00000000001
Halomagnusviridae	143850.00000000003
Halspiviridae	14450.0
Hantaviridae	12550.0
Helgolandviridae	37550.0
Hepaciviridae	9900.0
Hepadnaviridae	3300.0
Hepeviridae	6950.0
Herelleviridae	136750.0
Hirszfeldviridae	44450.0
Hodgkinviridae	54350.0
Huangdiviridae	26550.0
Hydriviridae	1599750.0
Hypoviridae	13400.0
Hytrosaviridae	157150.0
Iflaviridae	9900.0
Infernusviridae	31650.0
Inoviridae	7700.0
Inseviridae	5949.999999999999
Intestiviridae	93750.0
Iridoviridae	195750.0
Itzamnaviridae	37200.0
Jasonviridae	75350.0
Jeanschmidtviridae	281750.0
Kairosviridae	34150.00000000001
Kanorauviridae	2850.0
Kidogoviridae	3550.0
Kirkoviridae	3550.0
Kitaviridae	15250.0
Kleczkowskaviridae	207250.0
Kolmioviridae	1650.0
Konkoviridae	9700.0
Konodaiviridae	57250.0
Krittikaviridae	79950.0
Kruegerviridae	86050.0
Kunpengviridae	35750.0
Kyanoviridae	198400.0
Lakviridae	512000.0
Lebotiviridae	7400.0
Leishbuviridae	8650.0
Leisingerviridae	26150.0
Liberviridae	8850.000000000002
Lilleviridae	5700.0
Lilliviridae	40849.99999999999
Lindbergviridae	68600.0
Lipothrixviridae	36250.0
Lispiviridae	11050.0
Litenviridae	6350.0
Litilviridae	5600.0
Lomiviridae	21450.000000000004
Ludisviridae	48650.00000000001
Luriaviridae	103650.0
Lutetiaviridae	83050.0
Lutzviridae	53450.0
Madisaviridae	47050.0
Madridviridae	19550.0
Mahapunaviridae	2200.0
Malacoherpesviridae	209500.0
Mamonoviridae	372050.0
Mariniviridae	59750.0
Marnaviridae	7949.999999999999
Marseilleviridae	363400.0
Matonaviridae	9700.0
Matsushitaviridae	18350.0
Maviroviridae	19050.0
Mayoviridae	8450.0
Mazaviridae	4550.000000000001
Mazoviaviridae	120150.0
Medioniviridae	25050.0
Megabirnaviridae	15450.0
Megatotiviridae	12900.0
Mesomimiviridae	510250.0
Mesoniviridae	19950.0
Mestraviridae	8750.0
Mesyanzhinovviridae	59599.99999999999
Metaviridae	9050.0
Metaxyviridae	4450.0
Mimiviridae	1327550.0
Mitoviridae	3550.0
Molycolviridae	124400.0
Monocitiviridae	6050.0
Mononiviridae	41150.00000000001
Mtkvariviridae	74000.0
Mycoalphaviridae	7050.0
Mymonaviridae	8649.999999999998
Mypoviridae	15950.0
Myriaviridae	13550.0
Nairoviridae	19250.0
Nanghoshaviridae	13149.999999999998
Nanhypoviridae	18250.0
Nanicoviridae	18050.0
Nanopleoviridae	9050.0
Nanoviridae	7250.0
Naomviridae	75050.0
Narnaviridae	2700.0
Naryaviridae	2250.0
Natareviridae	12850.000000000002
Nenyaviridae	2300.0
Nimaviridae	276600.0
Nipumfusiviridae	32600.0
Nixviridae	45750.0
Nodaviridae	4400.0
Noraviridae	12350.000000000002
Nudiviridae	157750.0
Nyamiviridae	10350.000000000002
Obscuriviridae	6500.0
Occultatumviridae	6350.0
Olifoviridae	15350.000000000002
Omnilimnoviroviridae	23350.0
Oomyviridae	3800.0
Ootiviridae	5550.000000000001
Orlajensenviridae	17300.0
Orpheoviridae	1473550.0
Orthoherpesviridae	174750.0
Orthomyxoviridae	12400.0
Orthototiviridae	4750.0
Osikeviridae	3099.9999999999995
Ourmiaviridae	3350.0
Ouroboviridae	1900.0
Ovaliviridae	23250.0
Pachyviridae	75150.0
Pamosaviridae	850.0000000000001
Papillomaviridae	7199.999999999999
Parahypoviridae	10100.000000000002
Paramyxoviridae	18100.0
Parnassusviridae	10050.0
Partitiviridae	3900.0
Parvoviridae	5000.0
Paulinoviridae	6199.999999999999
Pecoviridae	2900.0000000000005
Peduoviridae	36200.0
Pequenoviridae	6450.0
Peribunyaviridae	14149.999999999998
Permutotetraviridae	5650.0
Pervagoviridae	72750.0
Pestiviridae	17650.0
Phasmaviridae	12700.0
Phenuiviridae	16450.0
Phlegiviridae	10500.0
Phycodnaviridae	281000.0
Phypoliviridae	26450.0
Piccoloviridae	5250.0
Pichoviridae	4550.0
Picobirnaviridae	3900.0
Picornaviridae	6149.999999999999
Pieniviridae	6200.0
Pigerviridae	53250.0
Pikkuviridae	6250.0
Pistolviridae	6250.0
Pithoviridae	571650.0
Piticuviridae	5050.0
Pituviridae	46600.0
Plasmaviridae	11950.0
Plectroviridae	6350.000000000001
Pleolipoviridae	12000.0
Pneumoviridae	14300.0
Polycipiviridae	11250.0
Polydnaviriformidae	
Polymycoviridae	9850.000000000002
Polyomaviridae	5650.0
Pootjesviridae	150950.0
Portogloboviridae	20350.0
Pospiviroidae	300.00000000000006
Potyliviridae	7650.0
Potyviridae	9899.999999999998
Poxviridae	243850.0
Pseudototiviridae	5449.999999999999
Pseudoviridae	13250.0
Pungoviridae	37050.0
Pyrstoviridae	41349.99999999999
Qinviridae	7800.000000000001
Quadriviridae	17200.000000000004
Quambiviridae	4850.0
Quasboviridae	32150.000000000007
Redondoviridae	3050.0
Retroviridae	7850.000000000001
Rhabdoviridae	13050.0
Rhizouliviridae	4250.0
Rhodogtaviriformidae	
Roniviridae	27700.0
Rountreeviridae	17750.0
Rudiviridae	28350.0
Ruviroviridae	26250.0
Saffermanviridae	42300.0
Saladoviridae	32450.000000000004
Salasmaviridae	23350.0
Saparoviridae	53450.0
Sarkviridae	42300.0
Sarthroviridae	800.0
Satyavativiridae	86950.0
Schitoviridae	69350.0
Schizomimiviridae	896050.0
Seadebiviridae	62650.00000000001
Secoviridae	12150.0
Sedoreoviridae	21800.0
Shortaselviridae	32150.000000000007
Simuloviridae	17700.0
Sinhaliviridae	5950.0
Skuldviridae	11350.0
Smacoviridae	2650.0000000000005
Soleiviridae	63349.99999999999
Solemoviridae	5000.0
Solinviviridae	10700.0
Solspiviridae	4650.0
Soropartitiviridae	3349.9999999999995
Speroviridae	42450.0
Sphaerolipoviridae	29700.0
Spiciviridae	7450.0
Spinareoviridae	25900.0
Spiraviridae	24850.0
Splipalmiviridae	5500.0
Sputniviroviridae	17799.999999999996
Stackebrandtviridae	58150.0
Stanwilliamsviridae	130700.0
Steigviridae	99050.0
Steitzviridae	4200.0
Straboviridae	184750.0
Sukshmaviridae	4950.0
Sunviridae	17150.0
Suolaviridae	35250.0
Suoliviridae	98700.0
Tainaviridae	6100.0
Tectiviridae	16300.0
Tenebraviridae	43050.0
Thalassapleoviridae	15650.0
Thaspiviridae	28250.0
Tinaiviridae	151350.00000000003
Tobaliviridae	10500.0
Tobaniviridae	28200.000000000004
Togaviridae	11649.999999999998
Tolecusatellitidae	1000.0
Tombusviridae	4850.0
Tomosaviridae	1050.0
Tonesaviridae	1200.0000000000002
Tosoviridae	12350.000000000002
Tospoviridae	15100.0
Toyamaviridae	65050.0
Trautnerviridae	44550.0
Trimbiviridae	4700.0
Tripviridae	192050.0
Tristromaviridae	17700.000000000004
Tulasviridae	13200.0
Turriviridae	17150.0
Tymoviridae	6800.0
Umezonoviridae	30250.0
Unambiviridae	4600.0
Ungulaviridae	20850.0
Usuviridae	37950.0
Vandenendeviridae	93050.0
Verdandiviridae	20000.0
Vertoviridae	56800.0
Vilmaviridae	76200.0
Vilyaviridae	2150.0
Virgaviridae	9300.0
Winoviridae	37200.0
Wupedeviridae	20450.0
Xigoviridae	9050.0
Xinmoviridae	12649.999999999998
Yadokariviridae	4600.0
Yadonushiviridae	8950.0
Yamazakiviridae	38050.0
Yangangviridae	37450.0
Yanlukaviridae	35849.99999999999
Yaraviridae	44950.0
Yueviridae	7949.999999999999
Zierdtviridae	67350.0
Zimmerviridae	46050.0
Zobellviridae	44250.0
Deltanormycoviridae	4700.0
Microviridae	5350.0
Mktvariviridae	74000.0
Totiviridae	7990.0
